P[day],d[hour]
7.365458200000000177e-01,1.555015999999999954e+00
8.463000400000000312e+00,3.560000000000000053e+00
1.885898200000000102e+01,4.419999999999999929e+00
1.508963499999999902e+00,2.373000000000000220e+00
1.324060000000000059e+01,2.979999999999999982e+00
2.994324999999999903e+00,2.444879999999999942e+00
2.828039149999999946e+00,2.621594299999999933e+00
4.035044440000000066e+00,2.852616300000000216e+00
1.512140000000000040e+00,1.661999999999999922e+00
5.352269999999999861e+00,2.390000000000000124e+00
3.768100000000000005e+00,4.720010000000000261e+00
1.900086249999999977e+00,2.305823199999999851e+00
3.897120259999999892e+00,4.825888199999999628e+00
1.743014330000000056e+00,2.287210099999999802e+00
9.243230289999999627e+00,2.404587199999999925e+00
2.724740000000000162e+00,4.759999999999999787e+00
9.755979999999999208e+00,4.491999999999999993e+00
3.631299999999999972e+00,3.887999999999999901e+00
5.113400000000000389e+00,2.850000000000000089e+00
1.175900000000000034e+01,4.799999999999999822e+00
4.860689999999999955e+00,1.919999999999999929e+00
4.204740000000000144e+00,5.469999999999999751e+00
3.575320000000000054e+00,2.770000000000000018e+00
5.208510000000000417e+00,5.700000000000000178e+00
2.850569999999999826e+00,2.189999999999999947e+00
3.227479999999999905e+00,4.190000000000000391e+00
5.616531000000000162e+00,4.980000000000000426e+00
9.201649639999999408e+00,4.431733300000000320e+00
4.037901240000000058e+00,2.933112400000000175e+00
8.886592999999999520e+00,4.080000000000000071e+00
8.535915899999999557e-01,1.058999999999999941e+00
6.212290000000000312e+00,2.740000000000000213e+00
9.527379999999999427e+01,8.080000000000000071e+00
6.718370000000000175e+00,2.495999999999999996e+00
8.138224340000000723e+00,3.292564599999999952e+00
2.816959999999999908e+01,3.359999999999999876e+00
8.770299999999999763e-01,1.000799999999999912e+00
3.961650000000000116e+00,2.160000000000000142e+00
4.168879999999999697e+00,2.399999999999999911e+00
8.051600000000000534e+00,3.720000000000000195e+00
4.507170000000000343e+00,2.184000000000000163e+00
9.116180000000000394e-01,1.415999999999999925e+00
1.464349999999999952e+01,4.008000000000000007e+00
5.298530000000000406e+00,3.144000000000000128e+00
3.549097199999999841e-01,1.070000000000000062e+00
2.255580000000000140e+00,9.839999999999999858e-01
1.583159999999999901e+00,1.752000000000000002e+00
1.751249999999999929e+01,3.935999999999999943e+00
2.116860000000000142e+01,3.576000000000000068e+00
1.949214729999999918e+01,3.568000000000000060e+00
2.289362999999999815e+00,1.879999999999999893e+00
5.213964999999999961e+00,2.620000000000000107e+00
1.809710000000000107e+01,4.320000000000000284e+00
1.528078000000000003e+01,3.459999999999999964e+00
