t,f,df
4.439195938596822089e+02,9.999615550041198730e-01,2.778831403702497482e-04
4.439604620342579437e+02,1.000209093093872070e+00,2.779354690574109554e-04
4.440013300095233717e+02,9.997963309288024902e-01,2.778655034489929676e-04
4.440217640474220389e+02,1.000504970550537109e+00,2.779458882287144661e-04
4.440421980854880530e+02,1.000103354454040527e+00,2.779260976240038872e-04
4.440626321237359662e+02,9.998310208320617676e-01,2.778687921818345785e-04
4.440830661621002946e+02,9.999959468841552734e-01,2.779291535262018442e-04
4.441035002006901777e+02,9.998506903648376465e-01,2.779094211291521788e-04
4.441239342394037521e+02,1.000310897827148438e+00,2.780054928734898567e-04
4.441648023174057016e+02,1.000202536582946777e+00,2.779145142994821072e-04
4.442056702961126575e+02,1.000055551528930664e+00,2.779835776891559362e-04
4.442465384755123523e+02,1.000165224075317383e+00,2.779840142466127872e-04
4.442669724154475261e+02,9.997640848159790039e-01,2.779279602691531181e-04
4.442874065555515699e+02,1.000462293624877930e+00,2.780172217171639204e-04
4.443078405957785435e+02,9.998989701271057129e-01,2.780014474410563707e-04
4.443282745362375863e+02,1.000229358673095703e+00,2.780107315629720688e-04
4.443487086768654990e+02,9.993489980697631836e-01,2.778520865831524134e-04
4.443691427176745492e+02,9.996523857116699219e-01,2.780553768388926983e-04
4.443895767586000147e+02,9.996685981750488281e-01,2.779356436803936958e-04
4.444100107997510349e+02,9.998937845230102539e-01,2.780179493129253387e-04
4.444304448410257464e+02,9.998056888580322266e-01,2.779636706691235304e-04
4.444508788825332886e+02,1.000385284423828125e+00,2.780217619147151709e-04
4.444713130241507315e+02,9.999997615814208984e-01,2.780933864414691925e-04
4.444917469659485505e+02,1.000283598899841309e+00,2.780317445285618305e-04
4.445121810079217539e+02,1.000270128250122070e+00,2.780374197755008936e-04
4.445326149500615429e+02,9.997577071189880371e-01,2.780068025458604097e-04
4.445530490923847537e+02,1.000167369842529297e+00,2.779927453957498074e-04
4.445734831348818261e+02,9.992176294326782227e-01,2.778975176624953747e-04
4.445939170775527600e+02,9.999058842658996582e-01,2.780043869279325008e-04
4.446143512203925638e+02,1.000024795532226562e+00,2.779271162580698729e-04
4.446347852633552975e+02,9.996283650398254395e-01,2.779105270747095346e-04
4.446756533498555655e+02,9.999600648880004883e-01,2.779794740490615368e-04
4.446960873933421681e+02,9.998866915702819824e-01,2.780873037409037352e-04
4.447165214369961177e+02,1.000070691108703613e+00,2.781348885037004948e-04
4.447369554808319663e+02,9.995465278625488281e-01,2.780594222713261843e-04
4.447573895248424378e+02,9.998072981834411621e-01,2.780189970508217812e-04
4.447778235690202564e+02,1.000000119209289551e+00,2.782391675282269716e-04
4.447982576133799739e+02,9.995261430740356445e-01,2.780042996164411306e-04
4.448391257025577943e+02,9.998926520347595215e-01,2.781281073112040758e-04
4.448595597474413808e+02,1.000123143196105957e+00,2.780886716209352016e-04
4.448799937924413825e+02,9.997473359107971191e-01,2.781315706670284271e-04
4.449004277376661776e+02,9.995162487030029297e-01,2.781132061500102282e-04
4.449208618830161868e+02,9.996972084045410156e-01,2.780924842227250338e-04
4.450025980660939240e+02,1.000024080276489258e+00,2.781740913633257151e-04
4.450230320123082493e+02,9.997150301933288574e-01,2.782029914669692516e-04
4.450434660586470272e+02,9.998339414596557617e-01,2.781925722956657410e-04
4.450639002052193973e+02,1.000366806983947754e+00,2.782172232400625944e-04
4.450843342519001453e+02,9.999701976776123047e-01,2.781468501780182123e-04
4.451047681987620308e+02,9.998154640197753906e-01,2.781726652756333351e-04
4.451252023458000622e+02,9.995728135108947754e-01,2.781343355309218168e-04
4.451456363930046791e+02,1.000178217887878418e+00,2.781755174510180950e-04
4.451660703403904336e+02,9.999815225601196289e-01,2.781852963380515575e-04
4.452069385356226121e+02,9.999397993087768555e-01,2.781549410428851843e-04
4.452273724835322355e+02,1.000007748603820801e+00,2.781735092867165804e-04
4.452478066315597971e+02,9.996777772903442383e-01,2.781961229629814625e-04
4.452886746281292289e+02,9.997653961181640625e-01,2.782307274173945189e-04
4.453091087766806595e+02,1.000092983245849609e+00,2.781729272101074457e-04
4.453295428253986756e+02,9.995375871658325195e-01,2.781624207273125648e-04
4.453499768742985907e+02,9.995318055152893066e-01,2.781395160127431154e-04
4.453908449725568062e+02,1.000120639801025391e+00,2.781118964776396751e-04
4.454112790219223825e+02,1.000007748603820801e+00,2.782205701805651188e-04
4.454317129714618204e+02,9.995307922363281250e-01,2.781517105177044868e-04
4.454521471211701282e+02,9.997465014457702637e-01,2.781348302960395813e-04
4.454725811710595735e+02,1.000096797943115234e+00,2.780663198791444302e-04
4.454930151211228804e+02,9.993086457252502441e-01,2.781196380965411663e-04
4.455134492712968495e+02,9.998871088027954102e-01,2.782237133942544460e-04
4.455543172722391319e+02,9.994050860404968262e-01,2.781158254947513342e-04
4.455747514229951776e+02,9.995758533477783203e-01,2.781547082122415304e-04
4.455951854738741531e+02,1.000042557716369629e+00,2.781618386507034302e-04
4.456156194248687825e+02,9.998477697372436523e-01,2.781538642011582851e-04
4.456360535760904895e+02,9.996656179428100586e-01,2.781223156489431858e-04
4.456973557307574083e+02,9.997869729995727539e-01,2.781595103442668915e-04
4.461264707549271407e+02,9.997653365135192871e-01,2.781895163934677839e-04
4.461469049102888675e+02,9.996358156204223633e-01,2.781750517897307873e-04
4.461673389658244560e+02,9.994405508041381836e-01,2.781990333460271358e-04
4.461877729214684223e+02,9.996005892753601074e-01,2.781778457574546337e-04
4.462082070773540181e+02,1.000110983848571777e+00,2.781962393783032894e-04
4.462286411333552678e+02,1.000169515609741211e+00,2.781978109851479530e-04
4.462490750895231031e+02,1.000084161758422852e+00,2.782580559141933918e-04
